0 0.0105124 0.00733099  0.24342 0.00622216
1 0.00277936 0.00497916  0.173582 0.00377803
2 0.000968313 0.0076707  0.255739 0.00558112
3 0.00781857 0.00486928  0.164437 0.00395226
4 0.00858409 0.00488897  0.169029 0.00390805
5 0.00436647 0.00609027  0.215066 0.00436135
6 0.0156998 0.00410734  0.146089 0.00302035
7 0.00992993 0.00823031  0.283865 0.00641157
8 -0.00722697 0.00517404  0.18942 0.00391654
9 -0.00656202 0.00645503  0.236381 0.00475178
10 0.0122679 0.00478941  0.176252 0.00397523
11 0.00820528 0.00890966  0.296139 0.00725866
12 0.00140546 0.0066178  0.231061 0.0051824
13 0.0256147 0.00731721  0.235624 0.00558841
14 0.0148406 0.00931236  0.328505 0.0066202
15 0.0105745 0.00629916  0.216306 0.00443763
16 0.0263901 0.00527733  0.189366 0.00436184
17 0.000642019 0.00432555  0.155715 0.00330641
18 0.00744492 0.00478744  0.160432 0.00392501
19 0.00679241 0.00545198  0.186888 0.00427627
20 -0.00753507 0.0095295  0.311403 0.00719435
21 -0.00335256 0.00756921  0.234094 0.00577279
22 0.00351686 0.0049712  0.155498 0.00372086
23 -0.0029823 0.00581062  0.183895 0.00460986
24 0.0112844 0.00607365  0.202356 0.00522747
25 0.000249167 0.00727943  0.241042 0.00564225
26 0.00342527 0.00814994  0.277398 0.00626214
27 0.0100277 0.00463872  0.149752 0.00402123
28 0.0180946 0.00388091  0.126832 0.00304038
29 0.0235768 0.00383158  0.131716 0.00337401
30 0.0167638 0.00373609  0.127863 0.00302782
31 0.012114 0.00502075  0.181345 0.00417297
32 0.00512986 0.00364995  0.130467 0.0031976
33 0.0177028 0.0044506  0.16097 0.00399629
34 -0.00194614 0.0063197  0.23214 0.00479447
35 0.00839532 0.00601999  0.200108 0.00466096
36 0.00328718 0.00542864  0.183041 0.00400816
37 -0.00601587 0.00561254  0.197548 0.00412065
38 0.0165207 0.00556595  0.158117 0.00411406
39 0.00981013 0.00436165  0.159853 0.00376733
40 -0.00305577 0.00462565  0.161208 0.00373308
41 0.00272324 0.00403632  0.134052 0.00330722
42 0.00797091 0.00808848  0.274064 0.0062303
43 0.0116263 0.00546292  0.184055 0.00454933
44 -0.00263761 0.00398208  0.134101 0.00360007
45 0.0168349 0.00546487  0.180386 0.00425631
46 0.0146832 0.00758073  0.251004 0.00586186
47 0.00747079 0.0053701  0.17885 0.00400512
48 0.0121853 0.00380332  0.127672 0.00334881
49 0.0121211 0.00396209  0.129618 0.00337376
50 -1.17865e-07 0.00433437  0.145448 0.0038074
51 0.00758344 0.00470952  0.156191 0.00353166
52 0.0176379 0.00340318  0.120696 0.00280444
53 0.0107426 0.00385015  0.136417 0.0034185
54 0.0072957 0.00352362  0.122735 0.0029169
55 0.00310853 0.00379416  0.12982 0.00330839
56 0.0100416 0.00389187  0.138858 0.00312403
57 0.00312887 0.00434474  0.137 0.00379057
58 0.0127973 0.00398617  0.146524 0.00325609
59 0.00916738 0.00421418  0.144068 0.00346396
60 0.00667259 0.00453582  0.145469 0.00386968
61 -5.21961e-05 0.00406186  0.146088 0.00307888
62 0.00843499 0.00431737  0.146242 0.00378279
63 0.00847857 0.00421423  0.141952 0.00326718
64 0.0106235 0.00490056  0.155354 0.00404598
65 0.00387676 0.00501122  0.165403 0.00403829
66 0.0133214 0.00497307  0.169231 0.00393245
67 0.0101216 0.00480023  0.157338 0.00374433
68 0.0183746 0.00421754  0.130558 0.00357071
69 0.0192992 0.00444756  0.139926 0.00390094
70 0.0143687 0.00443442  0.146783 0.00375639
71 0.0192104 0.00397476  0.130571 0.00316297
72 0.0151917 0.00419219  0.12834 0.00382469
73 0.0025831 0.00435807  0.141577 0.00381215
74 0.00637229 0.00423156  0.13638 0.00319379
75 0.0104424 0.00471967  0.159925 0.00391514
76 0.0120163 0.00387224  0.128027 0.00313971
77 0.00328831 0.00460363  0.151303 0.00357412
78 0.00807875 0.00370344  0.129327 0.00296659
79 0.00888133 0.00409889  0.143215 0.00328729
80 0.0234959 0.00395865  0.141138 0.0033672
81 0.0170688 0.00347568  0.127385 0.00283128
82 0.0109294 0.00520008  0.158666 0.00404044
83 0.00855298 0.00415991  0.14083 0.00308142
84 0.0149247 0.00367202  0.123664 0.00307242
85 0.00769591 0.00397778  0.13574 0.00318152
86 0.00522612 0.00407369  0.1423 0.00329299
87 0.00369151 0.00391743  0.131868 0.00282024
88 0.00891286 0.00372715  0.122124 0.0029997
89 0.00409699 0.00416339  0.133549 0.00327141
90 0.0155512 0.00411933  0.134876 0.00322278
91 -0.00188167 0.00432883  0.142793 0.00348654
92 0.00921366 0.00375964  0.130435 0.00291527
93 0.00498315 0.00422742  0.136396 0.00325676
94 0.00441612 0.00370481  0.11975 0.00271012
95 0.00218945 0.00406155  0.12883 0.00335316
