0 0.0242633 0.000739968  0.152806 0.000686832
1 0.0278507 0.000711864  0.146825 0.000671166
2 0.018916 0.00079957  0.166133 0.000751307
3 0.0213226 0.000847649  0.173194 0.000828719
4 0.0236217 0.000909805  0.188341 0.000853399
5 0.0205478 0.000865178  0.176923 0.000775428
6 0.0181237 0.000895382  0.185612 0.000881356
7 0.0182889 0.00072701  0.155564 0.000726515
8 0.0203266 0.000707176  0.150487 0.000676015
9 0.0194195 0.000939294  0.197087 0.00100011
10 0.0195776 0.000763354  0.161512 0.000757475
11 0.0241 0.000841465  0.156285 0.000816122
12 0.0115728 0.000868069  0.170049 0.000841477
13 0.0209766 0.00105537  0.178248 0.00102077
14 0.0183983 0.000993563  0.183154 0.000926963
15 0.0150503 0.000789654  0.146098 0.000729889
16 0.00835207 0.00117493  0.209704 0.00105766
17 0.0124947 0.000952397  0.171987 0.00083176
18 0.0331017 0.000781802  0.150012 0.000746783
19 0.0175257 0.000937664  0.179752 0.000795587
20 0.0341256 0.000800799  0.156759 0.000785425
21 0.0257028 0.00101212  0.201921 0.0009504
22 0.0490047 0.000772422  0.157306 0.000797448
23 -0.00919134 0.00198558  0.234298 0.00150138
24 0.0294705 0.000778014  0.157524 0.000741715
25 0.0198878 0.0010432  0.204702 0.000982028
26 0.0437865 0.000881731  0.175289 0.00081792
27 0.0431935 0.000721725  0.149444 0.000690196
28 0.0447948 0.00106921  0.212847 0.000951311
29 0.0426616 0.000679075  0.138184 0.000636101
30 0.0491847 0.000760963  0.163127 0.000827397
31 0.0544763 0.000740489  0.155265 0.000691052
32 0.0457068 0.000790898  0.166164 0.000740632
33 0.0622689 0.000815172  0.166817 0.000761248
34 0.055116 0.000895213  0.188881 0.000893025
35 0.0656729 0.00140685  0.247944 0.00135241
36 0.0424352 0.000788524  0.154911 0.000696553
37 0.0488506 0.000825149  0.150305 0.000735979
38 0.0439844 0.00112745  0.146018 0.0010164
39 0.0374375 0.00137883  0.208404 0.00134806
40 0.0552581 0.00130692  0.201998 0.00122682
41 0.043467 0.000905659  0.144842 0.000812701
42 0.0463625 0.00157157  0.262741 0.00135839
43 0.0287866 0.00102848  0.185156 0.000915865
44 0.0380239 0.000765504  0.144994 0.000712971
45 0.00780309 0.00139555  0.258665 0.00135205
46 0.0409724 0.000821286  0.161906 0.000766532
47 0.0265762 0.000968776  0.18983 0.000859219
48 0.0123154 0.000702855  0.140967 0.000647478
49 0.0139315 0.000664491  0.13762 0.000639681
50 0.0177874 0.000707723  0.145443 0.000649234
51 0.0193253 0.000697692  0.145833 0.000653106
52 0.00179823 0.00069545  0.143618 0.000637595
53 0.00499647 0.000663078  0.13991 0.000631438
54 0.00239437 0.000687732  0.140489 0.000651649
55 -0.0069275 0.000688671  0.141767 0.00061688
56 -0.00257681 0.000721071  0.144024 0.000671286
57 0.0144866 0.000897522  0.147307 0.000872806
58 0.00663021 0.000733787  0.147692 0.000700411
59 0.00248585 0.000880213  0.140572 0.000831199
60 0.00488988 0.000980117  0.131622 0.000876281
61 0.0103324 0.000852734  0.128546 0.000801873
62 0.00881996 0.000935792  0.137938 0.000856528
63 0.0154286 0.000840164  0.133889 0.000823855
64 0.00657532 0.00082299  0.143188 0.000777506
65 0.0305262 0.000772055  0.143841 0.000758767
66 0.0393477 0.000791885  0.149823 0.000768255
67 0.040638 0.000762076  0.148505 0.000759182
68 0.0266607 0.000742675  0.14025 0.000701641
69 0.036973 0.000720342  0.139536 0.000701408
70 0.0359935 0.000743628  0.145526 0.000719027
71 0.0471163 0.000731949  0.142561 0.000715798
72 0.0496628 0.000743278  0.147716 0.000713124
73 0.053867 0.000780315  0.151607 0.000740821
74 0.0489941 0.000704464  0.144115 0.000692132
75 0.0355314 0.000857025  0.167798 0.000783887
76 0.0489109 0.000708374  0.143822 0.000662796
77 0.0597076 0.000702083  0.144753 0.000672283
78 0.0591856 0.000720165  0.148195 0.000688832
79 0.0575897 0.000728267  0.147883 0.000677362
80 0.0623391 0.000734688  0.150915 0.000690594
81 0.0511993 0.000772621  0.150232 0.000716474
82 0.0531996 0.000846181  0.152317 0.000795816
83 0.0521321 0.000764884  0.147996 0.000719501
84 0.0437054 0.000865919  0.143424 0.000789118
85 0.05615 0.000749611  0.143546 0.000742411
86 0.0566797 0.000781088  0.143959 0.000758532
87 0.0444387 0.000752577  0.139241 0.000692078
88 0.0317818 0.000767359  0.141918 0.00071055
89 0.0394759 0.000737416  0.144539 0.000700775
90 0.0321432 0.000803698  0.154945 0.000851959
91 0.0253806 0.000837662  0.150891 0.000866258
92 0.0330657 0.000701249  0.140224 0.000660101
93 0.0352236 0.000691246  0.139924 0.000656141
94 0.0341493 0.000715274  0.144742 0.00066166
95 0.0254302 0.000663383  0.136681 0.000640196
