0 0.0246924 0.004908  0.155109 0.00377951
1 0.0234399 0.00418491  0.129626 0.00366142
2 0.00575388 0.00555649  0.174519 0.00467017
3 0.00913177 0.00545306  0.16197 0.00450676
4 -0.000844031 0.00568173  0.177025 0.00496818
5 0.00389917 0.00537421  0.168163 0.00454609
6 -0.0094871 0.00558141  0.172108 0.00437613
7 -0.00436415 0.00446578  0.143923 0.00369902
8 0.00553812 0.00426345  0.137555 0.00347532
9 -0.00948152 0.00640246  0.198501 0.00461872
10 -0.0129735 0.00455475  0.147684 0.00384595
11 0.0010246 0.00507313  0.141726 0.00407066
12 -0.0133289 0.00570615  0.161228 0.00458416
13 0.00500362 0.0063031  0.171586 0.00540171
14 -0.0149315 0.0057221  0.165099 0.00417553
15 0.01171 0.00432714  0.124885 0.00394438
16 0.0163979 0.00688553  0.202887 0.00540874
17 0.0201124 0.00538457  0.155409 0.00390863
18 -0.00235835 0.00434876  0.125859 0.00350614
19 0.00976312 0.00593789  0.174221 0.00448323
20 0.00307498 0.00474671  0.144549 0.00393051
21 0.00307628 0.00612929  0.182466 0.00503304
22 0.0215579 0.00449202  0.13212 0.00412181
23 0.00450049 0.0111254  0.225691 0.00953999
24 0.0235703 0.00507557  0.155634 0.00464678
25 0.0140837 0.00697629  0.206831 0.00548383
26 0.0135676 0.00550708  0.160361 0.0049774
27 0.0141266 0.00457389  0.135366 0.00368821
28 0.00464446 0.00694682  0.213778 0.00557044
29 0.0182237 0.00425552  0.126524 0.00379693
30 0.00985983 0.00494856  0.160805 0.00389871
31 0.0197937 0.00459525  0.148619 0.00372092
32 0.023826 0.00537453  0.16106 0.00433827
33 0.0145899 0.00529827  0.166781 0.00419148
34 0.00650375 0.00584183  0.183126 0.00474336
35 0.00778309 0.00979622  0.266737 0.00781893
36 0.0198562 0.00503737  0.140257 0.00412685
37 0.0306709 0.00516597  0.144064 0.00411071
38 0.0225503 0.0064386  0.137782 0.0054319
39 0.0446678 0.00911096  0.214344 0.0082858
40 -0.000473698 0.0101  0.230739 0.00866903
41 0.0171041 0.00591582  0.136505 0.00523639
42 -0.000369935 0.0110505  0.275743 0.01061
43 0.00758283 0.00642386  0.173097 0.00528844
44 0.00892078 0.0046974  0.135182 0.00375429
45 0.0069549 0.00808327  0.242774 0.0067944
46 0.0102843 0.00500964  0.155738 0.00395464
47 0.0146452 0.0059057  0.178359 0.00435757
48 0.015467 0.00407314  0.117661 0.00302145
49 0.0149785 0.00415305  0.125037 0.00344138
50 0.00659721 0.00421797  0.121913 0.00363333
51 0.0107294 0.00391926  0.119209 0.00295289
52 0.00517701 0.00408964  0.124711 0.0034604
53 0.00465483 0.00401321  0.118929 0.00333475
54 -0.002446 0.00398403  0.124088 0.00348836
55 0.0157148 0.00423265  0.128138 0.00378003
56 0.0108419 0.00370471  0.114768 0.00327708
57 0.00629043 0.00490646  0.132479 0.00438788
58 0.0110838 0.00409226  0.12093 0.00354513
59 0.0201315 0.00510092  0.12013 0.00415449
60 0.0209775 0.00558814  0.113213 0.00431764
61 0.00687373 0.00540184  0.126168 0.00458675
62 0.0289377 0.00513506  0.116939 0.0041952
63 0.0108086 0.00476608  0.110533 0.00383542
64 0.0351227 0.00494722  0.125892 0.00406035
65 0.00861911 0.00463266  0.12513 0.00392274
66 0.0164251 0.00424686  0.12387 0.00373238
67 0.006518 0.00452851  0.129639 0.00359708
68 0.0128603 0.00427037  0.12184 0.00332141
69 0.0154786 0.00441324  0.123547 0.00377969
70 0.0303654 0.00440014  0.118256 0.00349842
71 0.0347062 0.00464136  0.13465 0.00368397
72 0.0223363 0.00417502  0.123356 0.00308362
73 0.0279353 0.00482485  0.13006 0.00398875
74 0.021942 0.00452389  0.122773 0.00346502
75 0.00652362 0.00416962  0.119109 0.00315502
76 0.0191448 0.00451937  0.124014 0.00333884
77 0.0216079 0.00395865  0.120004 0.00317285
78 0.0142866 0.0039248  0.121145 0.0033017
79 0.027455 0.00433859  0.122005 0.0036122
80 0.025253 0.00448756  0.130477 0.00366096
81 0.0369399 0.00397049  0.124091 0.00304535
82 0.0232961 0.00472472  0.124519 0.00426853
83 0.029821 0.00416492  0.119384 0.00349249
84 0.01883 0.0049318  0.122582 0.00404176
85 0.0199911 0.00465301  0.126674 0.00420145
86 0.0327811 0.00439158  0.115444 0.00375999
87 0.0250588 0.00451122  0.115355 0.00413032
88 0.0110807 0.00409098  0.116268 0.00335912
89 0.0132054 0.00419728  0.121772 0.00374148
90 0.0151655 0.00399949  0.11993 0.00321211
91 0.0300031 0.0038316  0.113272 0.00352541
92 0.0130693 0.00412905  0.122447 0.00358018
93 0.0124112 0.0038793  0.118748 0.00300427
94 0.00291303 0.00400514  0.116354 0.00323403
95 0.00878148 0.00417367  0.126272 0.00334522
