0 0.0582555 0.000835863  0.204615 0.000745707
1 0.0328781 0.000683723  0.168313 0.000604483
2 0.0172266 0.001075  0.269596 0.000903114
3 0.0607723 0.000868549  0.217243 0.00075946
4 0.0868385 0.000939612  0.2417 0.000859799
5 0.0256103 0.000851835  0.234621 0.000837657
6 0.0522976 0.000817547  0.206117 0.000737772
7 0.0361518 0.000773629  0.199261 0.00068018
8 0.0254737 0.000596929  0.162851 0.000565688
9 0.0411559 0.000766739  0.196594 0.000700939
10 0.0174036 0.00063566  0.168506 0.00057384
11 0.0199982 0.000699284  0.169242 0.000663668
12 0.0104726 0.00143008  0.359518 0.00138872
13 0.0474397 0.0011164  0.227726 0.00107661
14 0.0150415 0.00268208  0.580187 0.0028359
15 0.00525766 0.000879984  0.221311 0.000835338
16 0.0107205 0.00121491  0.298929 0.00119032
17 0.0248618 0.00111468  0.270891 0.00106614
18 0.0183028 0.0010267  0.264472 0.000982236
19 0.0174174 0.000879558  0.212455 0.000777314
20 0.0452417 0.00121931  0.307436 0.00125924
21 0.154278 0.00299812  0.485096 0.00286758
22 0.0473993 0.000847874  0.2157 0.000795564
23 -0.1222 0.00393259  0.571024 0.00369866
24 0.0104001 0.000909857  0.224877 0.000789875
25 -0.0560461 0.00190169  0.462358 0.00178599
26 0.0397027 0.000808165  0.212446 0.000736138
27 0.0397923 0.000700602  0.185592 0.000651966
28 0.0390467 0.00113272  0.316762 0.00113353
29 0.0393824 0.000634125  0.164134 0.000608668
30 0.074665 0.000878415  0.221015 0.000763572
31 0.0378967 0.000989911  0.277943 0.000992196
32 0.0541075 0.000795268  0.208391 0.000725943
33 0.0745981 0.000865228  0.222522 0.000803178
34 0.0593417 0.00118668  0.294415 0.00105232
35 0.103058 0.00100008  0.214497 0.000919979
36 0.0563901 0.000849961  0.205 0.000717677
37 0.0091926 0.0011158  0.260129 0.00112704
38 0.0278582 0.00158188  0.285096 0.00183232
39 0.125265 0.00164193  0.213778 0.00133891
40 0.0996611 0.00174787  0.300588 0.00207342
41 0.0404999 0.00102365  0.224781 0.000922911
42 0.0699443 0.00124878  0.268046 0.00110479
43 0.0248623 0.00107447  0.238163 0.000900356
44 0.0452289 0.000613058  0.150094 0.000579105
45 0.0718531 0.00165886  0.292991 0.00152022
46 0.0373503 0.000974539  0.223494 0.000806713
47 0.0321294 0.00110766  0.292808 0.00105687
48 0.0153716 0.000636742  0.164336 0.000602428
49 0.0132159 0.000615446  0.160599 0.000592162
50 0.0150389 0.000596277  0.159432 0.000571429
51 0.0179679 0.000584988  0.158168 0.000567431
52 -0.00417177 0.000607851  0.157781 0.000564745
53 0.00956742 0.000565303  0.154886 0.000563208
54 -0.00896585 0.000637619  0.161852 0.000613539
55 -0.00273087 0.000593673  0.160463 0.00054725
56 -0.000152403 0.000631789  0.165781 0.000609228
57 -0.266242 0.00359312  0.497078 0.00266987
58 0.00734225 0.000679509  0.172154 0.000678789
59 0.00952811 0.000730976  0.156811 0.000750635
60 0.000280631 0.000795305  0.14218 0.000786789
61 0.00741154 0.000717188  0.142756 0.000724162
62 0.00620486 0.000823024  0.156255 0.000808621
63 0.00931093 0.000700472  0.146839 0.000706359
64 0.00638305 0.000695413  0.156321 0.00066769
65 0.0288063 0.000620949  0.150956 0.000644931
66 0.0267528 0.000662106  0.159869 0.000699856
67 0.0474209 0.000629393  0.156014 0.000655066
68 0.0114963 0.000667689  0.158943 0.000633236
69 0.0293784 0.000617151  0.150704 0.000637599
70 0.0296343 0.000638225  0.15681 0.000646702
71 0.0358891 0.00061726  0.152428 0.000620029
72 0.0392688 0.000610498  0.156265 0.000618737
73 0.0427017 0.000701804  0.171939 0.000700662
74 0.0379594 0.000633786  0.16057 0.000641074
75 0.022078 0.000721164  0.178419 0.000673288
76 0.0293722 0.000670811  0.163561 0.000618258
77 0.0472303 0.000647299  0.165535 0.000644959
78 0.0464937 0.000631859  0.164992 0.000620138
79 0.0536123 0.000617247  0.164927 0.000581146
80 0.0552751 0.00063379  0.168033 0.000607756
81 0.0503891 0.000625686  0.16852 0.000572222
82 0.0471678 0.000787742  0.172911 0.000762568
83 0.0405073 0.000709095  0.171124 0.000654298
84 0.0396187 0.000766427  0.163361 0.000700852
85 0.0624626 0.000659984  0.165868 0.000634789
86 0.0584993 0.000637152  0.158836 0.000642059
87 0.0460082 0.000648848  0.16251 0.000631118
88 0.032126 0.000677368  0.16648 0.000608908
89 0.044334 0.000610901  0.160803 0.000582633
90 0.028537 0.000753697  0.186862 0.000826134
91 0.0339652 0.000736951  0.169356 0.000789406
92 0.0276653 0.00059772  0.153494 0.000581079
93 0.0324642 0.000649539  0.163268 0.00063786
94 0.0321108 0.000628949  0.163957 0.000597468
95 0.0355485 0.000540925  0.146698 0.000531561
